Name,Ticker
CHRISTIE GROUP PLC,LON:CTG
CHRYSALIS VCT PLC,LON:CYS
CHURCHILL CHINA PLC,LON:CHH
CINEWORLD GROUP PLC,LON:CINE
CIP MERCHANT CAPITAL LIMITED,LON:CIP
CIRCASSIA PHARMACEUTICALS PLC,LON:CIR
CIRCLE PROPERTY PLC,LON:CRC
CITY MERCHANTS HIGH YIELD TRUST LIMITED,LON:CMHY
CITY NATURAL RESOURCES HIGH YIELD TRUST PLC,LON:CYN
CITY OF LONDON GROUP PLC,LON:CIN
CITY OF LONDON INVESTMENT GROUP PLC,LON:CLIG
CITY OF LONDON INVESTMENT TRUST PLC,LON:BA47
CITY OF LONDON INVESTMENT TRUST PLC,LON:BA69
CITY OF LONDON INVESTMENT TRUST PLC,LON:CTY
CITY OF LONDON INVESTMENT TRUST PLC,LON:CTYA
CITY PUB GROUP PLC (THE),LON:CPC
CIVITAS SOCIAL HOUSING PLC,LON:CSH
CIVITAS SOCIAL HOUSING PLC,LON:CSHC
CLARKE (T.) PLC,LON:CTO
CLARKSON PLC,LON:CKN
CLEAR LEISURE PLC,LON:CLP
CLEARSTAR INC.,LON:CLSU
CLINIGEN GROUP PLC,LON:CLIN
CLIPPER LOGISTICS PLC,LON:CLG
CLONTARF ENERGY PLC,LON:CLON
CLOSE BROTHERS GROUP PLC,LON:CBG
CLOUDBUY PLC,LON:CBUY
CLOUDCALL GROUP PLC,LON:CALL
CLS HOLDINGS PLC,LON:CLI
CLUFF NATURAL RESOURCES PLC,LON:CLNR
CMC MARKETS PLC,LON:CMCX
CML MICROSYSTEMS PLC,LON:CML
COATS GROUP PLC,LON:COA
COBHAM PLC,LON:85GU
COBHAM PLC,LON:COB
COCA-COLA HBC AG,LON:CCH
CODEMASTERS GROUP HOLDINGS PLC,LON:CDM
COHORT PLC,LON:CHRT
COLEFAX GROUP PLC,LON:CFX
COLLAGEN SOLUTIONS PLC,LON:COS
COLUMBUS ENERGY RESOURCES PLC,LON:CERP
COMMERZBANK AG,LON:CZB
COMMUNISIS PLC,LON:CMS
COMPAGNIE DE SAINT-GOBAIN,LON:COD
COMPASS GROUP PLC,LON:CPG
COMPTOIR GROUP PLC,LON:COM
COMPUTACENTER PLC,LON:CCC
CONCEPTA PLC,LON:CPT
CONCHA PLC,LON:CHA
CONCURRENT TECHNOLOGIES PLC,LON:CNC
CONDOR GOLD PLC,LON:CNR
CONNECT GROUP PLC,LON:CNCT
CONNEMARA MINING COMPANY PLC,LON:CON
CONROY GOLD & NATURAL RESOURCES PLC,LON:CGNR
CONSORT MEDICAL PLC,LON:CSRT
CONTANGO HOLDINGS PLC,LON:CGO
CONTOURGLOBAL PLC,LON:GLO
CONVATEC GROUP PLC,LON:CTEC
CONYGAR INVESTMENT COMPANY PLC (THE),LON:CIC
CORA GOLD LIMITED,LON:CORA
CORAL PRODUCTS PLC,LON:CRU
CORERO NETWORK SECURITY PLC,LON:CNS
CORO ENERGY PLC,LON:CORO
COSTAIN GROUP PLC,LON:COST
COUNTRYSIDE PROPERTIES PLC,LON:CSP
COUNTRYWIDE PLC,LON:CWD
CPL RESOURCES PLC,LON:CPS
CPPGROUP PLC,LON:CPP
CQS NEW CITY HIGH YIELD FUND LIMITED,LON:NCYF
CRADLE ARC PLC,LON:CRA
CRANEWARE PLC,LON:CRW
CRANSWICK PLC,LON:CWK
CRAVEN HOUSE CAPITAL PLC,LON:CRV
CRAWSHAW GROUP PLC,LON:CRAW
CREIGHTONS PLC,LON:CRL
CREO MEDICAL GROUP PLC,LON:CREO
CREST NICHOLSON HOLDINGS PLC,LON:CRST
CRH PLC,LON:97GM
CRH PLC,LON:CRH
CRIMSON TIDE PLC,LON:TIDE
CRODA INTERNATIONAL PLC,LON:49GP
CRODA INTERNATIONAL PLC,LON:50GP
CRODA INTERNATIONAL PLC,LON:CRDA
CROMA SECURITY SOLUTIONS GROUP PLC,LON:CSSG
CROPPER (JAMES) PLC,LON:CRPR
CROWN PLACE VCT PLC,LON:CRWN
CRUSADER RESOURCES LIMITED,LON:CAS
CRYSTAL AMBER FUND LIMITED,LON:CRS
CSF GROUP PLC,LON:CSFG
CURTIS BANKS GROUP PLC,LON:CBP
CURZON ENERGY PLC,LON:CZN
CUSTODIAN REIT PLC,LON:CREI
CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,LON:CCPE
CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,LON:CCPG
CVS GROUP PLC,LON:CVSG
CYANCONNODE HOLDINGS PLC,LON:CYAN
CYBG PLC,LON:CYBG
D4T4 SOLUTIONS PLC,LON:D4T4
DAEJAN HOLDINGS PLC,LON:DJAN
DAILY MAIL & GENERAL TRUST PLC,LON:DMGT
DAIRY CREST GROUP PLC,LON:DCG
DAIRY FARM INTERNATIONAL HOLDINGS LD,LON:DFI
DAIRY FARM INTERNATIONAL HOLDINGS LD,LON:DFIB
DAIRY FARM INTERNATIONAL HOLDINGS LD,LON:DFIJ
DALATA HOTEL GROUP PLC,LON:DAL
DALRADIAN RESOURCES INC.,LON:DALR
DANAKALI LIMITED,LON:DNK
DART GROUP PLC,LON:DTG
DATANG INTERNATIONAL POWER GENERATION COMPANY LD,LON:DAT
DAVICTUS PLC,LON:DVT
DCC PLC,LON:DCC
DCD MEDIA PLC,LON:DCD
DEBENHAMS PLC,LON:DEB
DECHRA PHARMACEUTICALS PLC,LON:DPH
DEEPMATTER GROUP PLC,LON:DMTR
DEFENX PLC,LON:DFX
DEKELOIL PUBLIC LIMITED,LON:DKL
DE LA RUE PLC,LON:DLAR
DELTEX MEDICAL GROUP PLC,LON:DEMG
DERRISTON CAPITAL PLC,LON:DERR
DERWENT LONDON PLC,LON:DLN
DESTINY PHARMA PLC,LON:DEST
DEVRO PLC,LON:DVO
DEWHURST PLC,LON:DWHA
DEWHURST PLC,LON:DWHT
DFS FURNITURE PLC,LON:DFS
DIAGEO PLC,LON:DGE
DIALIGHT PLC,LON:DIA
DIGNITY PLC,LON:DTY
DILLISTONE GROUP PLC,LON:DSG
DIPLOMA PLC,LON:DPLM
DIRECTA PLUS PLC,LON:DCTA
DIRECT LINE INSURANCE GROUP PLC,LON:DLG
DISCOVERIE GROUP PLC,LON:DSCV
DISTIL PLC,LON:DIS
DIURNAL GROUP PLC,LON:DNL
DIVERSE INCOME TRUST (THE) PLC,LON:DIVI
DIVERSIFIED GAS & OIL PLC,LON:DGOC
DIXONS CARPHONE PLC,LON:DC.
DODS GROUP PLC,LON:DODS
